Location,Country,Year,Month,Weekday,Operator,Route,Type,Total_Aboard,Total_Fatalities,Ground,Total_Survivors,Total_Deaths,Total_Involved,Summary
"Elizabeth, New Jersey",USA,1918,Dec,Monday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
"Cleveland, Ohio",USA,1919,May,Sunday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
"Dix Run, Pennsylvania",USA,1919,Jul,Saturday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,The mail plane crashed under unknown circumstances.
"Verona, Italy",Italy,1919,Aug,Saturday,Caproni Company,Venice  Taliedo,Caproni Ca.48,14.0,14.0,0.0,0.0,14.0,14.0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
"Newcastle, England",England,1919,Oct,Thursday,Aircraft Transport and Travel,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,No Data
"Cantonsville, Maryland",USA,1919,Oct,Tuesday,US Aerial Mail Service,No Data,Curtiss R-4LM,1.0,1.0,0.0,0.0,1.0,1.0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
"English Channel off Forkstone, Kent",Kent,1919,Oct,Monday,Aircraft Transport and Travel,No Data,De Havilland DH-4,0.0,0.0,0.0,0.0,0.0,0.0,Crashed into the sea while attempting to land in fog.
"Long Valley, New Jersey",USA,1919,Oct,Thursday,US Aerial Mail Service,No Data,De Havilland DH.4,1.0,1.0,0.0,0.0,1.0,1.0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
"Catherham, Surrey, UK",Surrey,1919,Dec,Thursday,Aircraft Travel Transport,Paris - Hounslow,de Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,Crashed in a field while attemptting to land.
"New Paris, Indiana",USA,1920,Mar,Wednesday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
"Newark, New Jersey",USA,1920,Mar,Tuesday,US Aerial Mail Service,Washington - Newark,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
"Newark, New Jersey",USA,1920,Apr,Saturday,US Aerial Mail Service,No Data,Curtiss R-4LM,2.0,1.0,0.0,1.0,1.0,2.0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.
"Heller Field, New Jersey",USA,1920,Apr,Sunday,US Aerial Mail Service,No Data,Curtiss JN-4H,2.0,1.0,0.0,1.0,1.0,2.0,The aircraft crashed while on approach for unknown reasons.
"Oskaloosa, Iowa",USA,1920,May,Wednesday,US Aerial Mail Service,No Data,De Havilland DH-4,2.0,1.0,0.0,1.0,1.0,2.0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."
"Cleveland, Ohio",USA,1920,Jun,Sunday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,The aircraft suffered engine failure and crashed shortly after taking off.
"Cartagena, Columbia",No Data,1920,Jul,Tuesday,Compañia Colombiana de Navegación Aérea,No Data,Farman F-40,1.0,1.0,0.0,0.0,1.0,1.0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
"Bedford, England",England,1920,Aug,Monday,By Air,No Data,Armstrong-Whitworth F-K-8,1.0,1.0,0.0,0.0,1.0,1.0,The plane crashed during a cargo flight under unknown circumstances.
"College Park, Maryland",USA,1920,Aug,Monday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
"Morristown, New Jersey",USA,1920,Sep,Wednesday,US Aerial Mail Service,No Data,Junkers JL-6,2.0,2.0,0.0,0.0,2.0,2.0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
"Pemberville, Ohio",USA,1920,Sep,Wednesday,US Aerial Mail Service,No Data,Junkers F-13,2.0,2.0,0.0,0.0,2.0,2.0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
"Hillersburg, Pennsylvania",USA,1920,Sep,Monday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
"Off Port Vendres, France",France,1920,Oct,Saturday,Latecoere Airlines,No Data,Salmson 2-A-2,2.0,2.0,0.0,0.0,2.0,2.0,Crashed into the Mediterranean while on a mail flight.
"Valencia, Spain",Spain,1920,Oct,Tuesday,Latecoere Airlines,No Data,Breguet 14,2.0,2.0,0.0,0.0,2.0,2.0,While on a mail flight the plane crashed while attempting to land.
"Batavia, Illinois",USA,1920,Oct,Friday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,While attempting to land in fog the aircraft hit an obstruction and crashed.
"Tie Siding, Wyoming",USA,1920,Nov,Sunday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,The aircraft crashed into a mountain in poor weather condtions.
"London, England",England,1920,Dec,Tuesday,Handley Page Transport,London - Paris,Handley Page HP-16,8.0,4.0,0.0,4.0,4.0,8.0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
"Barcelona, Spain",Spain,1920,Dec,Friday,Aeropostale,No Data,Breguet 14,1.0,1.0,0.0,0.0,1.0,1.0,The aircraft stalled and crashed when an engine failed.
"Mendotta, Minnisota",No Data,1921,Feb,Thursday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
"La Crosse, Wisconsin",USA,1921,Feb,Wednesday,US Aerial Mail Service,No Data,Junkers F-13,3.0,3.0,0.0,0.0,3.0,3.0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
Off Gibraltar,No Data,1921,Feb,Tuesday,Aeropostale,No Data,Breguet 14,2.0,2.0,0.0,0.0,2.0,2.0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
"Elko, Nevada",USA,1921,Feb,Tuesday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,"Shortly after taking off, the aircraft stalled and crashed ."
"Point Cook, Australia",Australia,1921,Apr,Wednesday,Military - Royal Australian Air Force,No Data,Avro 504,2.0,2.0,0.0,0.0,2.0,2.0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
"Mitchel Field, NY",No Data,1921,Apr,Thursday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,After taking off the aircraft stalled and crashed.
"Cleveland, Ohio",USA,1921,Apr,Friday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
"Rock Springs, Wyoming",USA,1921,May,Tuesday,US Aerial Mail Service,No Data,"De Havilland DH-4De Havilland DH-4",1.0,1.0,0.0,0.0,1.0,1.0,Crashed while attempting to land.
"Toulouse, France",France,1921,Aug,Sunday,Aeropostale,No Data,Breguet 14,2.0,2.0,0.0,0.0,2.0,2.0,No Data
"River Humber, England",England,1921,Aug,Wednesday,Military - Royal Airship Works,No Data,Royal Airship Works ZR-2 (airship),49.0,43.0,1.0,6.0,44.0,50.0,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude."
"Paris, France",France,1921,Sep,Tuesday,Franco-Roumaine,Warsaw - Prague - Strasbourg - Paris,Potez IX,5.0,5.0,0.0,0.0,5.0,5.0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
"Near Murchinson River, Australia",Australia,1921,Dec,Monday,West Australian Airways,Geraldton - Derby,Bristol 28 Tourer,2.0,2.0,0.0,0.0,2.0,2.0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
"Paris, France",France,1922,Jan,Saturday,Handley Page Transport,No Data,Handley Page O/10,5.0,5.0,5.0,0.0,10.0,10.0,Crashed at Le Bourget field.
"Near Norfolk, Virginia",USA,1922,Feb,Tuesday,Military - U.S. Army Air Service,No Data,Dirigible Roma (airship),45.0,34.0,0.0,11.0,34.0,45.0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
North Atlantic Ocean,No Data,1922,Mar,Wednesday,Aero Limited,Miami - Bimini,Aeromarine Model 85 (flying boat),6.0,5.0,0.0,1.0,5.0,6.0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
"Grandvilliers, France",France,1922,Apr,Friday,Daimler Airways / Grands Express Aeriens,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,7.0,7.0,0.0,0.0,7.0,7.0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
"Pao Ting Fou, China",China,1922,Apr,Saturday,No Data,Test,No Data,17.0,17.0,0.0,0.0,17.0,17.0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
"Off Folkestone, Kent, England",Kent,1922,Jun,Saturday,Cie des Messageries Aeriennes,Croydon - Paris,Bleriot Spad 27,3.0,3.0,0.0,0.0,3.0,3.0,Went down into the English Channel while en route.
"Fuhlsbuttel, Germany",Germany,1922,Jul,Tuesday,No Data,Hamburg - Berlin,LVG C VI,3.0,2.0,0.0,1.0,2.0,3.0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
"Near Saverne, Lorraine, France",No Data,1922,Jul,Sunday,Compagnie Franco-Roumaine de Navigaation Aerienne,Strasbourg - Paris,Potez 29,5.0,5.0,0.0,0.0,5.0,5.0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
"Cadix, Spain",Spain,1922,Jul,Wednesday,Grands Express Aeriens,No Data,Breguet 14,3.0,3.0,0.0,0.0,3.0,3.0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
"Indianapolis, Indiana",USA,1922,Sep,Thursday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,The plane stalled shortly after takeoff and crashed.
"Venice, Italy",Italy,1922,Oct,Monday,de Havilland Air Service,Venice - London,de Havilland DH-9,4.0,4.0,0.0,0.0,4.0,4.0,Shortly after taking off the plane crashed into the sea and sank.
"Larache, Morocco",Morocco,1922,Oct,Wednesday,Grands Express Aeriens,No Data,Breguet 14,2.0,2.0,0.0,0.0,2.0,2.0,Crashed under unknown circumstances.
"Fez, Morocco",Morocco,1922,Dec,Sunday,Grands Express Aeriens,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,1.0,1.0,0.0,0.0,1.0,1.0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
"Ajaccio, France",France,1923,Jan,Wednesday,Amee de l'Air,No Data,Lioré-et-Olivier H-13,4.0,3.0,0.0,1.0,3.0,4.0,The plane crashed mid-air due to a structural failure of the tail.
"Barcelona, Spain",Spain,1923,Jan,Wednesday,Grands Express Aeriens,No Data,Breguet 14,1.0,1.0,0.0,0.0,1.0,1.0,Crashed into a mountain during a snowstorm.
"Cheyenne, Wyoming",USA,1923,Jan,Thursday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,Crashed during a mail flight.
"Meadville, Pennsylvania",USA,1923,Feb,Monday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,The pilot lost control of the aircraft  while on approach in poor weather conditions.
"Near Amiens, Picrdie, France",No Data,1923,May,Monday,Grands Express Aeriens (Air Union),Paris - London,Farman F-60 Goliath,6.0,6.0,0.0,0.0,6.0,6.0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
"East Mallling, United Kingdom",United Kingdom,1923,Aug,Monday,Air Union,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,11.0,1.0,0.0,10.0,1.0,11.0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
"Bucharest, Romania",Romania,1923,Aug,Monday,Campagnie France Roumaine,No Data,Blériot Spad 46,2.0,2.0,0.0,0.0,2.0,2.0,Crashed while on approach to Bucharesst.
"Colton, Ohio",USA,1923,Sep,Friday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,Crashed during an emergency landing attempt.
"Near Ivinghoe, Buckinghamshire, England",No Data,1923,Sep,Friday,Daimler Airways,Croydon - Manchester,de Havilland DH-34,5.0,5.0,0.0,0.0,5.0,5.0,Crashed while attempting a forced landing after encountering heavy rain.
Russia,No Data,1923,Nov,Sunday,CCCP,No Data,Junkers F-13,5.0,3.0,0.0,2.0,3.0,5.0,Crashed during a training flight.
"Castalia, Ohio",USA,1923,Dec,Thursday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,Crashed under unknown circumstances.
Over the Mediterranean Sea,No Data,1923,Dec,Sunday,Military - French Navy,Toulon - Algiers,Zeppelin Dixmunde (airship),52.0,52.0,0.0,0.0,52.0,52.0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
"Egbert, WY",No Data,1923,Dec,Monday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,Crashed into a montain in poor weather conditions.
"Grampian, Pennsylvania",USA,1924,Mar,Friday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,Crashed during a snowstorm.
Over the English Channel,No Data,1924,Apr,Thursday,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,3.0,3.0,0.0,0.0,3.0,3.0,The aircraft disappeared over the North Sea. The plane and passengers were never found.
"Barranquilla, Colombia",Colombia,1924,Jun,Sunday,SCADTA,Barranquilla - Bogota,Junkers F-13,5.0,5.0,0.0,0.0,5.0,5.0,Stalled after taking off and crashed into houses..
United States,No Data,1924,Aug,Friday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed."
"Cabrerolles, France",France,1924,Nov,Thursday,Grands Express Aeriens,No Data,Breguet 14,1.0,1.0,0.0,0.0,1.0,1.0,"While en route the pilot encountered thunderstorms, lost control and crashed."
"Goshen, Indiana",USA,1924,Dec,Sunday,US Aerial Mail Service,No Data,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed."
"Purley, England",England,1924,Dec,Wednesday,Imperial Airways,London - Paris,de Havilland DH-34B,8.0,8.0,0.0,0.0,8.0,8.0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing."
"Near Tiflis, Georgia, USSR",Georgia,1925,Mar,Sunday,Zakavia,Tiflis - Suchumi,Junkers F-13,5.0,5.0,0.0,0.0,5.0,5.0,Shortly after take off the plane went out of control and crashed in flames.
"Alicante, Spain",Spain,1925,Apr,Saturday,Grands Express Aeriens,Alicante - Barcelona - Toulouse,Breguet 14,3.0,3.0,0.0,0.0,3.0,3.0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
"Landrécies, France",France,1925,Jun,Thursday,KLM Royal Dutch Airlines,Amsterdam - Paris,Fokker (KLM)  F.III,4.0,4.0,0.0,0.0,4.0,4.0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
"Alicante, Spain",Spain,1925,Jun,Friday,Grands Express Aeriens,Oran - Alicante,Lioré-et-Olivier LeO H-13,2.0,2.0,0.0,0.0,2.0,2.0,While attempting to land the seaplane hit a lightning mast and crashed.
"Rosas, Spain",Spain,1925,Jul,Monday,Lignes Aeriennes Latecoere,Toulouse - Barcelona,Breguet 14,1.0,1.0,0.0,0.0,1.0,1.0,Crashed in unknown circumstance.
"Budapest, Hungary",Hungary,1925,Jul,Friday,CIDNA,No Data,Potez IX,1.0,1.0,0.0,0.0,1.0,1.0,Crashed while attempting to land 10 km from the airport
"Caldwell, Ohio",USA,1925,Sep,Thursday,Military - U.S. Navy,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),43.0,14.0,0.0,29.0,14.0,43.0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart."
"Mt. Nittany, Ohio",USA,1925,Oct,Thursday,US Aerial Mail Service,New York - San Francisco,De Havilland DH-4,1.0,1.0,0.0,0.0,1.0,1.0,Crashed into a wooded area on Mt. Nittany in fog and low visibility.
"Nouadhibou, Mauritania",Mauritania,1925,Nov,Saturday,Lignes Aeriennes Latecoere,No Data,Breguet 14,1.0,1.0,0.0,0.0,1.0,1.0,The pilot suffered sunstroke lost control of the plane and crashed.
"Off Boulogne-sur-Mer, France",France,1925,Nov,Saturday,Air Union,No Data,Farman F-60 Goliath,2.0,2.0,0.0,0.0,2.0,2.0,No Data
"Montpelier, Ohio",USA,1926,Feb,Friday,US Aerial Mail Service,No Data,Curtiss Carrier Pigeon,1.0,1.0,0.0,0.0,1.0,1.0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
"Staaken, Germany",Germany,1926,Mar,Monday,Deutche Lufthansa,No Data,Junkers F-13,1.0,1.0,0.0,0.0,1.0,1.0,While in a training filight the aircraft stalled and crashed while attempting to land.
English Channel,No Data,1926,May,Monday,Air Union,Paris - Cryodon,Breguet 14,1.0,1.0,0.0,0.0,1.0,1.0,The mail plane crashed into the English Channel and was never found.
"Rossaugpt, Czechoslovakia",Czech Republic,1926,Jul,Saturday,Compagnie Internationale de Navigation Aérienne,Paris - Prague - Budapest,Caudron C-61,6.0,6.0,0.0,0.0,6.0,6.0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
"Wolvertem, Belgium",Belgium,1926,Jul,Friday,KLM Royal Dutch Airlines,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,2.0,2.0,0.0,0.0,2.0,2.0,Crashed into the ground while descending in poor weather.
"Juist, Germany",Germany,1926,Jul,Saturday,Deutsche Lufthansa,No Data,Junkers F-13,5.0,5.0,0.0,0.0,5.0,5.0,Crashed under weather related.circumstances.
"Hurst, Kent, England",Kent,1926,Aug,Wednesday,Air Union,"Lebourget, France - Croydon, England",Bleriot 155,15.0,3.0,0.0,12.0,3.0,15.0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
"New York, New York",USA,1926,Sep,Sunday,No Data,New York - Paris,Sikorsky S-25,5.0,2.0,0.0,3.0,2.0,5.0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
"Leigh, Kent, Unied Kingdom",Kent,1926,Oct,Saturday,Air Union,Paris - London,Bleriot 155,7.0,7.0,0.0,0.0,7.0,7.0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
"Bueren, Germany",Germany,1926,Oct,Friday,Deutsche Lufthansa,No Data,Fokker FG III,4.0,4.0,0.0,0.0,4.0,4.0,Weather related.
English Channel,No Data,1926,Oct,Thursday,Imperial Airways,Croydon - Paris,Handley Page W-10,12.0,0.0,0.0,12.0,0.0,12.0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
"Cape Bojador, Morocco",Morocco,1926,Nov,Thursday,Grands Express Aeriens,Casablanca -Dakar,Breguet 14,3.0,3.0,0.0,0.0,3.0,3.0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed."
"Medford, Oregon",USA,1926,Dec,Thursday,Pacific Air Transport,No Data,Ryan M-1,1.0,1.0,0.0,0.0,1.0,1.0,The postal plane crashed into a mountain slope in foggy conditions.
